GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
StayGo,com.staygo.main.controller,PerfilController,4,0,0,0,1,0,1,0,1,0
StayGo,com.staygo.main.controller,HotelController,6,0,0,0,2,0,2,0,2,0
StayGo,com.staygo.main.controller,HomeController,27,0,2,0,10,0,6,0,5,0
StayGo,com.staygo.main.controller,AuthController,8,34,1,3,4,9,2,3,1,2
StayGo,com.staygo.main.controller,ReservaController,20,0,0,0,4,0,4,0,4,0
StayGo,com.staygo.main.controller,DepartamentoController,38,0,0,0,9,0,6,0,6,0
StayGo,com.staygo.main.entity,Reserva,28,0,8,0,5,0,7,0,3,0
StayGo,com.staygo.main.entity,User,16,0,0,0,5,0,5,0,5,0
StayGo,com.staygo.main.entity,Resena,28,0,8,0,5,0,7,0,3,0
StayGo,com.staygo.main.entity,Role,0,21,0,0,0,4,0,1,0,1
StayGo,com.staygo.main.entity,Pago,3,0,0,0,1,0,1,0,1,0
StayGo,com.staygo.main.entity,EstadoReserva,0,33,0,0,0,4,0,1,0,1
StayGo,com.staygo.main.config,ApplicationConfig,3,34,0,0,0,8,0,6,0,6
StayGo,com.staygo.main.config,SecurityConfig,0,23,0,0,0,6,0,4,0,4
StayGo,com.staygo.main.servicio,AuthService,24,71,0,4,5,21,0,5,0,3
StayGo,com.staygo.main.servicio,HotelServicio,11,122,2,4,2,35,2,8,0,7
StayGo,com.staygo.main.servicio,UserServicio,0,79,0,2,0,22,0,5,0,4
StayGo,com.staygo.main.servicio,DepartamentoServicio,11,158,1,7,2,43,1,12,0,9
StayGo,com.staygo.main.servicio,ReservaService,106,146,7,1,24,38,9,8,5,8
StayGo,com.staygo.main,StayGoApplication,5,3,0,0,2,1,1,1,1,1
